number,image_url,name,position,dob,nationality,height,foot,joined,joined_from,contract,value,club_name
5,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jon Mersinaj,Centre-Back,"Feb 8, 1999",Albania,"1,83",right,"Jul 1, 2018",NK Lokomotiva Zagreb U19,"Jun 15, 2025",800k,NK Lokomotiva Zagreb
16,https://img.a.transfermarkt.technology/portrait/medium/420196-1605471356.jpg?lm=1,Justin de Haas,Centre-Back,"Feb 1, 2000",Netherlands,"1,94",left,"Jul 7, 2021",PSV Eindhoven U21,"Jun 15, 2024",750k,NK Lokomotiva Zagreb
6,https://img.a.transfermarkt.technology/portrait/medium/256942-1599923976.jpg?lm=1,Hajdin Salihu,Centre-Back,"Jan 18, 2002","Albania, Kosovo","1,88",right,"Jul 9, 2021",FC Llapi,"Jun 15, 2023",100k,NK Lokomotiva Zagreb
20,https://img.a.transfermarkt.technology/portrait/medium/293180-1537438570.jpg?lm=1,Branimir Kalaica,Centre-Back,"Jun 1, 1998",Croatia,"1,92",right,"Jan 19, 2023",Without Club,"Jun 15, 2024",100k,NK Lokomotiva Zagreb
17,https://img.a.transfermarkt.technology/portrait/medium/466452-1616334860.jpg?lm=1,Ivan Milicevic,Left-Back,"Jul 16, 1998","Bosnia-Herzegovina, Croatia","1,83",left,"Jul 20, 2018",NK Siroki Brijeg,"Jun 15, 2024",1.00m,NK Lokomotiva Zagreb
19,https://img.a.transfermarkt.technology/portrait/medium/45826-1523610127.jpg?lm=1,Josip Pivaric,Left-Back,"Jan 30, 1989",Croatia,"1,75",left,"Oct 1, 2020",Dynamo Kyiv,"Jun 15, 2023",500k,NK Lokomotiva Zagreb
3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Fran Zilinski,Left-Back,"Apr 4, 2003",Croatia,,,"Jul 1, 2022",NK Lokomotiva Zagreb U19,"Jun 15, 2024",150k,NK Lokomotiva Zagreb
24,https://img.a.transfermarkt.technology/portrait/medium/519782-1614458126.jpeg?lm=1,Branimir Cipetic,Right-Back,"May 24, 1995","Bosnia-Herzegovina, Croatia","1,84",right,"Jan 20, 2021",NK Siroki Brijeg,"Jun 15, 2024",450k,NK Lokomotiva Zagreb
27,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Marko Vranjkovic,Right-Back,"Feb 5, 1999",Croatia,"1,85",right,-,,"Jun 15, 2024",350k,NK Lokomotiva Zagreb
14,https://img.a.transfermarkt.technology/portrait/medium/455494-1603481951.jpg?lm=1,Mateo Maric,Defensive Midfield,"Mar 18, 1998","Bosnia-Herzegovina, Croatia","1,78",right,"Jan 21, 2021",NK Siroki Brijeg,"Jun 15, 2025",1.30m,NK Lokomotiva Zagreb
18,https://img.a.transfermarkt.technology/portrait/medium/370959-1630240510.jpg?lm=1,Marko Hanuljak,Defensive Midfield,"Jan 31, 2000",Croatia,"1,81",right,"Feb 16, 2023",HSK Posusje,"Jun 15, 2024",300k,NK Lokomotiva Zagreb
15,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Art Smakaj,Defensive Midfield,"Feb 4, 2003","Kosovo, Croatia",,,"Jul 1, 2022",NK Lokomotiva Zagreb U19,"Jun 15, 2024",250k,NK Lokomotiva Zagreb
29,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Vladan Bubanja,Defensive Midfield,"Feb 21, 1999",Montenegro,"1,94",right,"Jul 14, 2022",FK Sutjeska Niksic,"Jun 15, 2026",250k,NK Lokomotiva Zagreb
13,https://img.a.transfermarkt.technology/portrait/medium/602906-1603481393.jpg?lm=1,Blaz Boskovic,Defensive Midfield,"Dec 15, 2001","Bosnia-Herzegovina, Croatia",,right,"Jul 14, 2022",HSK Zrinjski Mostar,"Jun 15, 2026",200k,NK Lokomotiva Zagreb
11,https://img.a.transfermarkt.technology/portrait/medium/846545-1643271975.jpg?lm=1,Lukas Kacavenda,Attacking Midfield,"Mar 2, 2003",Croatia,"1,74",right,"Mar 29, 2021",NK Lokomotiva Zagreb U19,"Jun 15, 2025",4.50m,NK Lokomotiva Zagreb
30,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jakov-Anton Vasilj,Attacking Midfield,"Jun 2, 2002",Croatia,,right,"Jan 26, 2022",GNK Dinamo Zagreb II,"Jun 30, 2023",850k,NK Lokomotiva Zagreb
23,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Luka Stojkovic,Attacking Midfield,"Oct 28, 2003",Croatia,"1,82",right,"Mar 22, 2021",NK Lokomotiva Zagreb U19,"Jun 15, 2025",700k,NK Lokomotiva Zagreb
21,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Gabriel Groznica,Attacking Midfield,"Mar 12, 2002",Croatia,,,"Jul 1, 2021",NK Jarun,"Jun 15, 2023",300k,NK Lokomotiva Zagreb
25,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Raul Florucz,Left Winger,"Jun 10, 2001",Austria,"1,82",left,"Jul 1, 2020",NK Olimpija Ljubljana,"Jan 17, 2024",850k,NK Lokomotiva Zagreb
22,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Silvio Gorican,Left Winger,"Feb 27, 2000",Croatia,"1,76",right,-,,"Jun 15, 2024",550k,NK Lokomotiva Zagreb
8,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Marin Soticek,Right Winger,"Sep 18, 2004",Croatia,,,"Jul 1, 2022",NK Lokomotiva Zagreb U19,"Jun 15, 2024",200k,NK Lokomotiva Zagreb
9,https://img.a.transfermarkt.technology/portrait/medium/357778-1605123186.jpg?lm=1,Sandro Kulenovic,Centre-Forward,"Dec 4, 1999",Croatia,"1,91",right,"Aug 31, 2021",GNK Dinamo Zagreb,"Jun 30, 2023",2.00m,NK Lokomotiva Zagreb
10,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Indrit Tuci,Centre-Forward,"Sep 14, 2000",Albania,"1,91",right,"Jul 1, 2019",NK Lokomotiva Zagreb U19,"Jun 15, 2025",300k,NK Lokomotiva Zagreb
-,https://img.a.transfermarkt.technology/portrait/medium/615603-1607329335.JPG?lm=1,Mihajlo Baic,Centre-Forward,"Nov 21, 2002","Serbia, Croatia","1,91",right,"Mar 22, 2023",NK Osijek II,"Jun 15, 2023",100k,NK Lokomotiva Zagreb
31,https://img.a.transfermarkt.technology/portrait/medium/179894-1663604483.jpg?lm=1,Marko Malenica,Goalkeeper,"Feb 8, 1994",Croatia,"1,93",right,"Jan 14, 2013",NK Osijek U19,"Jun 30, 2025",400k,NK Osijek
15,https://img.a.transfermarkt.technology/portrait/medium/447215-1663604495.jpg?lm=1,Marko Baresic,Goalkeeper,"Apr 30, 1999",Croatia,"1,96",right,"Jul 1, 2021",NK Osijek II,"Jun 30, 2024",50k,NK Osijek
37,https://img.a.transfermarkt.technology/portrait/medium/625206-1663606417.jpg?lm=1,Adrian Leon Barisic,Centre-Back,"Jul 19, 2001","Bosnia-Herzegovina, Croatia","1,93",right,"Jul 1, 2021",Frosinone Calcio,"Jun 30, 2025",1.50m,NK Osijek
98,https://img.a.transfermarkt.technology/portrait/medium/343153-1663606443.jpg?lm=1,Yevgen Cheberko,Centre-Back,"Jan 23, 1998",Ukraine,"1,84",left,"Jan 19, 2022",LASK,"Jun 30, 2025",750k,NK Osijek
20,https://img.a.transfermarkt.technology/portrait/medium/325124-1663606283.jpg?lm=1,Mario Jurcevic,Left-Back,"Jun 1, 1995",Slovenia,"1,86",left,"Sep 10, 2020",NK Olimpija Ljubljana,"Jun 30, 2023",400k,NK Osijek
4,https://img.a.transfermarkt.technology/portrait/medium/51604-1663606245.jpg?lm=1,Marin Leovac,Left-Back,"Aug 7, 1988","Croatia, Austria","1,80",left,"Jan 27, 2022",GNK Dinamo Zagreb,"Jun 30, 2023",150k,NK Osijek
19,https://img.a.transfermarkt.technology/portrait/medium/434557-1663607511.jpg?lm=1,Mihael Zaper,Defensive Midfield,"Aug 11, 1998",Croatia,"1,88",right,"Apr 2, 2019",NK Osijek II,"Jun 30, 2024",3.00m,NK Osijek
6,https://img.a.transfermarkt.technology/portrait/medium/526566-1663607504.jpg?lm=1,Darko Nejasmic,Defensive Midfield,"Jan 25, 1999",Croatia,"1,83",right,"Jul 7, 2022",HNK Hajduk Split,"Jun 30, 2025",1.60m,NK Osijek
23,https://img.a.transfermarkt.technology/portrait/medium/160471-1663607498.jpg?lm=1,Petar Brlek,Central Midfield,"Jan 29, 1994",Croatia,"1,80",right,"Jan 18, 2021",Genoa CFC,"Jun 30, 2024",400k,NK Osijek
8,https://img.a.transfermarkt.technology/portrait/medium/541646-1663607491.jpg?lm=1,Diego Barri,Central Midfield,"Sep 19, 1995",Spain,"1,88",right,"Feb 2, 2022",CD Badajoz,"Jun 30, 2023",150k,NK Osijek
7,https://img.a.transfermarkt.technology/portrait/medium/49929-1663607460.jpg?lm=1,Vedran Jugovic,Central Midfield,"Jul 31, 1989",Croatia,"1,78",right,"Jul 1, 2019",Jeonnam Dragons,"Jun 30, 2024",100k,NK Osijek
25,https://img.a.transfermarkt.technology/portrait/medium/724666-1663607382.jpg?lm=1,Ognjen Bakic,Central Midfield,"Jan 6, 2003",Montenegro,,right,"Jul 1, 2022",NK Osijek II,"Jun 30, 2025",100k,NK Osijek
11,https://img.a.transfermarkt.technology/portrait/medium/197032-1663607271.jpg?lm=1,Mijo Caktas,Attacking Midfield,"May 8, 1992",Croatia,"1,79",right,"Jan 26, 2022",Damac FC,"Jun 30, 2025",2.00m,NK Osijek
14,https://img.a.transfermarkt.technology/portrait/medium/226070-1663607240.jpg?lm=1,Ivan Fiolic,Attacking Midfield,"Apr 29, 1996",Croatia,"1,76",left,"Jul 20, 2021",KRC Genk,"Jun 30, 2024",950k,NK Osijek
44,https://img.a.transfermarkt.technology/portrait/medium/294401-1663607207.jpg?lm=1,Kristijan Lovric,Left Winger,"Dec 1, 1995",Croatia,"1,86",right,"Feb 15, 2022",HNK Gorica,"Jun 30, 2026",2.00m,NK Osijek
16,https://img.a.transfermarkt.technology/portrait/medium/624347-1663607830.jpg?lm=1,Nikola Janjic,Left Winger,"Jul 14, 2002",Montenegro,,left,"Jul 6, 2022",FK Sutjeska Niksic,"Jun 30, 2026",300k,NK Osijek
36,https://img.a.transfermarkt.technology/portrait/medium/797824-1663438460.jpg?lm=1,Nail Omerovic,Left Winger,"Oct 20, 2002",Bosnia-Herzegovina,"1,74",right,"Jan 2, 2023",NK Osijek II,"Jun 30, 2026",150k,NK Osijek
39,https://img.a.transfermarkt.technology/portrait/medium/921251-1663429395.jpg?lm=1,Domagoj Bukvic,Left Winger,"Feb 22, 2004",Croatia,"1,74",left,"Jan 2, 2023",NK Osijek II,"Jun 30, 2025",100k,NK Osijek
24,https://img.a.transfermarkt.technology/portrait/medium/1056459-1679433913.jpg?lm=1,Filip Zivkovic,Left Winger,"Aug 1, 2006",Croatia,,left,"Jan 2, 2023",NK Osijek U17,"Jan 31, 2026",,NK Osijek
17,https://img.a.transfermarkt.technology/portrait/medium/186647-1663607810.jpg?lm=1,Sime Grzan,Right Winger,"Apr 6, 1994",Croatia,"1,72",right,"Jul 2, 2021",Zalaegerszegi TE FC,"Jun 30, 2024",450k,NK Osijek
10,https://img.a.transfermarkt.technology/portrait/medium/293196-1664039723.jpg?lm=1,Josip Spoljaric,Second Striker,"Jan 5, 1997",Croatia,"1,84",right,"Nov 19, 2018",Zalaegerszegi TE FC,"Jun 30, 2023",350k,NK Osijek
13,https://img.a.transfermarkt.technology/portrait/medium/435022-1663607779.jpg?lm=1,Ramón Miérez,Centre-Forward,"May 13, 1997",Argentina,"1,82",right,"Jul 1, 2021",Deportivo Alavés,"Jun 30, 2025",2.00m,NK Osijek
30,https://img.a.transfermarkt.technology/portrait/medium/53522-1663607762.jpg?lm=1,Mihret Topcagic,Centre-Forward,"Jun 21, 1988","Austria, Bosnia-Herzegovina","1,93",right,"Jan 18, 2021",Without Club,"Jun 30, 2023",100k,NK Osijek
31,https://img.a.transfermarkt.technology/portrait/medium/160467-1601579881.jpg?lm=1,Ivan Banic,Goalkeeper,"Jul 18, 1994",Croatia,"1,87",right,"Aug 2, 2020",NK Olimpija Ljubljana,"May 30, 2025",400k,HNK Gorica
1,https://img.a.transfermarkt.technology/portrait/medium/526258-1574324726.jpg?lm=1,Karlo Ziger,Goalkeeper,"May 11, 2001",Croatia,"1,87",right,"Jul 18, 2022",Chelsea FC U21,"Jun 30, 2026",50k,HNK Gorica
12,https://img.a.transfermarkt.technology/portrait/medium/601189-1553468742.jpg?lm=1,Jan Paolo Debijadji,Goalkeeper,"Apr 16, 2000",Croatia,"1,91",right,"Oct 15, 2020",NK Dubrava Tim kabel,"Jun 30, 2024",50k,HNK Gorica
21,https://img.a.transfermarkt.technology/portrait/medium/46407-1665497769.png?lm=1,Bozidar Radosevic,Goalkeeper,"Apr 4, 1989",Croatia,"1,87",right,"Feb 2, 2023",NK Varazdin,"Jun 15, 2023",50k,HNK Gorica
25,https://img.a.transfermarkt.technology/portrait/medium/585858-1601583398.jpg?lm=1,Kresimir Krizmanic,Centre-Back,"Jul 3, 2000",Croatia,"1,88",left,"Jan 5, 2019",HNK Gorica U19,"Jun 30, 2025",1.80m,HNK Gorica
4,https://img.a.transfermarkt.technology/portrait/medium/202793-1601580223.jpg?lm=1,Matthew Steenvoorden,Centre-Back,"Jan 9, 1993",Netherlands,"1,88",right,"Jul 8, 2019",SC Cambuur Leeuwarden,"May 31, 2024",500k,HNK Gorica
32,https://img.a.transfermarkt.technology/portrait/medium/206956-1663606335.jpg?lm=1,Slavko Bralic,Centre-Back,"Dec 15, 1992",Croatia,"1,91",right,"Jan 19, 2023",NK Osijek,"Jun 30, 2023",350k,HNK Gorica
13,https://img.a.transfermarkt.technology/portrait/medium/531072-1612713477.png?lm=1,Robert Cosic,Centre-Back,"Jul 8, 1997",Croatia,"1,84",right,"Jan 18, 2023",NK Rudes,"Jun 30, 2025",175k,HNK Gorica
34,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Mario Matkovic,Centre-Back,"Apr 2, 2003",Croatia,,,"Jul 1, 2022",HNK Gorica U19,"Jun 30, 2024",,HNK Gorica
22,https://img.a.transfermarkt.technology/portrait/medium/489865-1648491577.png?lm=1,Matus Vojtko,Left-Back,"Oct 5, 2000",Slovakia,"1,81",left,"Jul 11, 2022",Slovan Bratislava,"Jun 30, 2023",350k,HNK Gorica
33,https://img.a.transfermarkt.technology/portrait/medium/330289-1505210251.jpg?lm=1,Cheick Keita,Left-Back,"Apr 16, 1996","Mali, France","1,80",left,"Feb 4, 2021",Without Club,"May 31, 2023",250k,HNK Gorica
90,https://img.a.transfermarkt.technology/portrait/medium/100591-1580400052.png?lm=1,Dino Stiglec,Left-Back,"Oct 3, 1990",Croatia,"1,89",left,"Feb 10, 2023",Hapoel Haifa,"Jun 10, 2023",250k,HNK Gorica
20,https://img.a.transfermarkt.technology/portrait/medium/246836-1490950779.jpg?lm=1,Momcilo Raspopovic,Right-Back,"Mar 18, 1994",Montenegro,"1,83",right,"Jul 1, 2022",Buducnost Podgorica,"May 31, 2024",350k,HNK Gorica
44,https://img.a.transfermarkt.technology/portrait/medium/49985-1515489871.jpg?lm=1,Ivan Tomecak,Right-Back,"Dec 7, 1989",Croatia,"1,75",right,"Feb 2, 2023",NK Lokomotiva Zagreb,"Jun 15, 2023",250k,HNK Gorica
10,https://img.a.transfermarkt.technology/portrait/medium/425780-1605472009.jpg?lm=1,Jurica Prsir,Defensive Midfield,"May 29, 2000",Croatia,"1,80",right,"Oct 15, 2020",HNK Hajduk Split,"Aug 31, 2026",1.50m,HNK Gorica
15,https://img.a.transfermarkt.technology/portrait/medium/131324-1634118328.png?lm=1,Filip Mrzljak,Defensive Midfield,"Apr 16, 1993",Croatia,"1,75",both,"Jan 11, 2023",Without Club,"Jun 30, 2024",500k,HNK Gorica
8,https://img.a.transfermarkt.technology/portrait/medium/101657-1601583601.jpg?lm=1,Joey Suk,Defensive Midfield,"Jul 8, 1989",Netherlands,"1,85",right,"Aug 3, 2018",Go Ahead Eagles,"May 31, 2023",400k,HNK Gorica
18,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Patrik Jug,Defensive Midfield,"Feb 4, 2002",Croatia,"1,82",right,"Jul 1, 2021",HNK Gorica U19,"Jul 31, 2023",100k,HNK Gorica
17,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Vinko Skrbin,Defensive Midfield,"Apr 24, 2003",Croatia,,,"Jul 1, 2022",HNK Gorica U19,"May 31, 2024",50k,HNK Gorica
16,https://img.a.transfermarkt.technology/portrait/medium/432758-1625042737.jpg?lm=1,Toni Fruk,Attacking Midfield,"Mar 9, 2001",Croatia,"1,79",left,"Jul 14, 2021",ACF Fiorentina,"Jun 30, 2023",2.00m,HNK Gorica
11,https://img.a.transfermarkt.technology/portrait/medium/491033-1580457788.jpg?lm=1,Edin Julardzija,Attacking Midfield,"Jan 21, 2001",Croatia,"1,73",,"Jul 1, 2022",GNK Dinamo Zagreb II,"Jun 30, 2026",150k,HNK Gorica
23,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Luka Kapulica,Attacking Midfield,"Jan 18, 2005",Croatia,,,"Oct 24, 2022",HNK Gorica U19,"Jun 30, 2025",50k,HNK Gorica
9,https://img.a.transfermarkt.technology/portrait/medium/655977-1663607123.jpg?lm=1,Kristian Fucak,Left Winger,"Nov 14, 1998",Croatia,"1,93",,"Jan 19, 2023",NK Osijek,"Jun 30, 2023",500k,HNK Gorica
95,https://img.a.transfermarkt.technology/portrait/medium/366418-1645305658.jpg?lm=1,Vinko Petkovic,Left Winger,"Oct 1, 1995",Croatia,"1,80",right,"Jan 19, 2023",NK Osijek,"Jun 30, 2023",250k,HNK Gorica
99,https://img.a.transfermarkt.technology/portrait/medium/398886-1600971355.jpg?lm=1,Merveil Ndockyt,Left Winger,"Jul 20, 1998",Congo,"1,69",left,"Jul 27, 2022",NK Osijek,"Jun 30, 2024",100k,HNK Gorica
77,https://img.a.transfermarkt.technology/portrait/medium/314269-1648577522.jpg?lm=1,Valentino Majstorovic,Right Winger,"Nov 11, 1995",Croatia,"1,70",right,"Jan 5, 2023",Without Club,"Jun 30, 2025",700k,HNK Gorica
14,https://img.a.transfermarkt.technology/portrait/medium/464332-1601583943.jpg?lm=1,Josip Mitrovic,Right Winger,"Jun 11, 2000",Croatia,"1,74",right,"Aug 11, 2020",HNK Rijeka,"May 31, 2024",500k,HNK Gorica
46,https://img.a.transfermarkt.technology/portrait/medium/293260-1648487156.jpeg?lm=1,Nikola Vujnovic,Centre-Forward,"Jan 11, 1997",Montenegro,"1,77",both,"Sep 7, 2022",FK Vozdovac,"Jun 30, 2025",600k,HNK Gorica
89,https://img.a.transfermarkt.technology/portrait/medium/50303-1471449523.jpg?lm=1,Tim Matavz,Centre-Forward,"Jan 13, 1989",Slovenia,"1,88",right,"Jan 19, 2023",Omonia Nicosia,"Jun 15, 2024",400k,HNK Gorica
7,https://img.a.transfermarkt.technology/portrait/medium/927331-1659297761.png?lm=1,Ante Matej Juric,Centre-Forward,"Nov 26, 2002",Croatia,,,"Jul 5, 2022",NK Belisce,"Jun 30, 2025",100k,HNK Gorica
1,https://img.a.transfermarkt.technology/portrait/medium/131330-1665497867.png?lm=1,Oliver Zelenika,Goalkeeper,"May 14, 1993",Croatia,"1,92",left,"Feb 3, 2020",Without Club,"Jun 15, 2025",150k,NK Varazdin
21,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Josip Silic,Goalkeeper,"Dec 16, 1999",Croatia,,,"Feb 15, 2023",NK Dugopolje,"Jun 15, 2023",100k,NK Varazdin
12,https://img.a.transfermarkt.technology/portrait/medium/574303-1665497914.png?lm=1,Marino Bulat,Goalkeeper,"Jun 26, 1999",Croatia,"1,94",right,"Jul 14, 2022",NK Croatia Zmijavci,"Jun 15, 2023",50k,NK Varazdin
4,https://img.a.transfermarkt.technology/portrait/medium/454293-1665497956.png?lm=1,Jorgo Pellumbi,Centre-Back,"Jul 15, 2000",Albania,"1,86",left,"Sep 16, 2020",FK Kukësi,"May 31, 2024",450k,NK Varazdin
26,https://img.a.transfermarkt.technology/portrait/medium/370999-1665497973.png?lm=1,Luka Jelenic,Centre-Back,"May 24, 2000",Croatia,"1,87",right,"Jul 13, 2022",NK Inker,"Jun 15, 2024",400k,NK Varazdin
24,https://img.a.transfermarkt.technology/portrait/medium/226095-1665497946.png?lm=1,Marko Stolnik,Centre-Back,"Jul 8, 1996",Croatia,"1,86",,"Jul 30, 2018",FK Auda,"May 31, 2023",350k,NK Varazdin
6,https://img.a.transfermarkt.technology/portrait/medium/552970-1665497963.png?lm=1,Jakov Karabatic,Centre-Back,"Mar 23, 2000",Croatia,"1,97",right,"Sep 1, 2021",HNK Cibalia Vinkovci,"May 31, 2023",200k,NK Varazdin
20,https://img.a.transfermarkt.technology/portrait/medium/353374-1665496836.png?lm=1,Lamine Ba,Centre-Back,"Aug 24, 1997","Mauritania, France","1,89",right,"Jul 20, 2022",FC Progrès Niederkorn,"Jun 15, 2023",150k,NK Varazdin
28,https://img.a.transfermarkt.technology/portrait/medium/619277-1665497992.png?lm=1,Luka Skaricic,Centre-Back,"Jan 28, 2002",Croatia,"1,90",right,"Feb 1, 2022",HNK Hajduk Split,"Jun 30, 2023",100k,NK Varazdin
25,https://img.a.transfermarkt.technology/portrait/medium/351557-1665498760.png?lm=1,Itsuki Urata,Left-Back,"Jan 29, 1997",Japan,"1,80",left,"Aug 12, 2020",Without Club,"Jun 15, 2023",200k,NK Varazdin
5,https://img.a.transfermarkt.technology/portrait/medium/333450-1665498717.png?lm=1,Jozo Stanic,Right-Back,"Apr 6, 1999","Croatia, Germany","1,84",right,"Jul 1, 2022",FC Augsburg,"Jun 30, 2023",500k,NK Varazdin
18,https://img.a.transfermarkt.technology/portrait/medium/366062-1665498708.png?lm=1,Matija Kolaric,Right-Back,"Apr 14, 1996",Croatia,"1,70",,"Aug 2, 2016",NK Medjimurje Cakovec,"May 31, 2024",350k,NK Varazdin
6,https://img.a.transfermarkt.technology/portrait/medium/197078-1665498664.png?lm=1,David Puclin,Defensive Midfield,"Jun 17, 1992",Croatia,"1,77",right,"Sep 1, 2022",Vorskla Poltava,"Jun 30, 2023",700k,NK Varazdin
8,https://img.a.transfermarkt.technology/portrait/medium/312715-1665498700.png?lm=1,Igor Postonjski,Defensive Midfield,"Feb 4, 1995",Croatia,"1,77",right,"Jan 18, 2021",NK Zagorec,"May 31, 2024",650k,NK Varazdin
23,https://img.a.transfermarkt.technology/portrait/medium/458052-1665498653.png?lm=1,Marin Pilj,Defensive Midfield,"Dec 3, 1996",Croatia,"1,65",right,"Sep 1, 2022",NK Olimpija Ljubljana,"Jun 15, 2023",650k,NK Varazdin
22,https://img.a.transfermarkt.technology/portrait/medium/505324-1665498583.png?lm=1,Agon Elezi,Defensive Midfield,"Mar 1, 2001","North Macedonia, Albania","1,78",right,"Sep 16, 2020",KF Skënderbeu,"May 31, 2024",550k,NK Varazdin
33,https://img.a.transfermarkt.technology/portrait/medium/844375-1665498625.png?lm=1,Leon Belcar,Defensive Midfield,"Jan 4, 2002",Croatia,"1,86",right,"Jul 1, 2021",NK Varazdin U19,"Dec 31, 2024",150k,NK Varazdin
36,https://img.a.transfermarkt.technology/portrait/medium/479645-1552404419.jpg?lm=1,Rafa Pereira,Central Midfield,"May 26, 2001",Portugal,"1,75",right,"Feb 8, 2023",Vitória Guimarães SC B,"Dec 31, 2023",125k,NK Varazdin
