number,image_url,name,position,dob,nationality,height,foot,joined,joined_from,contract,value,club_name
10,https://img.a.transfermarkt.technology/portrait/medium/510241-1665498559.png?lm=1,Tonio Teklic,Attacking Midfield,"Sep 9, 1999",Croatia,"1,82",left,"Jul 13, 2022",HNK Hajduk Split,"May 31, 2024",1.00m,NK Varazdin
9,https://img.a.transfermarkt.technology/portrait/medium/240247-1452608794.jpg?lm=1,Domagoj Drozdek,Left Winger,"Mar 20, 1996",Croatia,"1,80",right,"Feb 16, 2023",Busan IPark,"Jun 15, 2024",500k,NK Varazdin
13,https://img.a.transfermarkt.technology/portrait/medium/225551-1665500825.png?lm=1,Leonard Vuk,Left Winger,"May 23, 1995",Croatia,"1,73",,"Aug 1, 2016",NK Medjimurje Cakovec,"May 31, 2023",100k,NK Varazdin
19,https://img.a.transfermarkt.technology/portrait/medium/665274-1626344054.PNG?lm=1,Ivan Saranic,Right Winger,"May 12, 2003",Croatia,"1,85",left,"Jan 20, 2023",GNK Dinamo Zagreb,"Jun 30, 2023",800k,NK Varazdin
11,https://img.a.transfermarkt.technology/portrait/medium/371012-1665500817.png?lm=1,Michele Sego,Right Winger,"Aug 5, 2000",Croatia,"1,78",right,"Jul 13, 2022",HNK Hajduk Split,"May 31, 2024",750k,NK Varazdin
15,https://img.a.transfermarkt.technology/portrait/medium/937973-1665500791.png?lm=1,Lovro Banovec,Right Winger,"Oct 28, 2001",Croatia,,right,"Jul 29, 2022",NK Inker,"Jun 15, 2023",350k,NK Varazdin
17,https://img.a.transfermarkt.technology/portrait/medium/386794-1571747470.jpg?lm=1,Dimitar Mitrovski,Right Winger,"Jan 28, 1999",North Macedonia,"1,76",left,"Jan 26, 2023",Akademija Pandev,"Jun 30, 2023",250k,NK Varazdin
16,https://img.a.transfermarkt.technology/portrait/medium/921254-1665500775.png?lm=1,Noa Vugrinec,Right Winger,"Aug 13, 2002",Croatia,,,"Jul 1, 2021",NK Varazdin U19,"May 31, 2024",50k,NK Varazdin
30,https://img.a.transfermarkt.technology/portrait/medium/295048-1665500766.png?lm=1,Andris Herrera,Second Striker,"Oct 20, 1996",Venezuela,"1,75",right,"Feb 2, 2021",Yaracuyanos FC,"Jun 15, 2023",350k,NK Varazdin
7,https://img.a.transfermarkt.technology/portrait/medium/226060-1665500747.png?lm=1,Fran Brodic,Centre-Forward,"Jan 8, 1997",Croatia,"1,80",both,"Jul 6, 2022",HNK Gorica,"May 31, 2023",550k,NK Varazdin
27,https://img.a.transfermarkt.technology/portrait/medium/697091-1665500757.png?lm=1,Karlo Peric,Centre-Forward,"Feb 14, 2001",Croatia,,,"Jul 6, 2022",NK Hrvatski Dragovoljac,"Jun 15, 2023",400k,NK Varazdin
29,https://img.a.transfermarkt.technology/portrait/medium/937737-1643959490.png?lm=1,Niko Domjanic,Centre-Forward,"Feb 19, 2003",Croatia,,,"Nov 3, 2021",NK Varazdin U19,"Dec 31, 2024",300k,NK Varazdin
21,https://img.a.transfermarkt.technology/portrait/medium/494847-1646599197.png?lm=1,Lovro Majkic,Goalkeeper,"Oct 8, 1999",Croatia,"1,86",right,"Jul 30, 2018",HNK Rijeka U19,"Jun 30, 2025",300k,NK Istra 1961
1,https://img.a.transfermarkt.technology/portrait/medium/263065-1646155104.jpg?lm=1,Marijan Coric,Goalkeeper,"Feb 6, 1995",Croatia,"2,04",right,"Jan 18, 2023",NK Opatija,"Jun 30, 2024",100k,NK Istra 1961
40,https://img.a.transfermarkt.technology/portrait/medium/830280-1637273708.png?lm=1,Jan Paus-Kunst,Goalkeeper,"Aug 17, 2001",Croatia,"1,93",left,"Aug 4, 2020",NK Cres,"Jun 30, 2023",50k,NK Istra 1961
45,https://img.a.transfermarkt.technology/portrait/medium/207025-1669112375.png?lm=1,Ante Majstorovic,Centre-Back,"Nov 6, 1993",Croatia,"1,85",right,"Mar 2, 2023",Without Club,"Jun 15, 2024",600k,NK Istra 1961
23,https://img.a.transfermarkt.technology/portrait/medium/307807-1602857432.png?lm=1,Dario Maresic,Centre-Back,"Sep 29, 1999","Austria, Croatia","1,83",both,"Jul 12, 2022",Stade Reims,"Jun 30, 2023",500k,NK Istra 1961
8,https://img.a.transfermarkt.technology/portrait/medium/251046-1646598982.png?lm=1,Einar Galilea,Centre-Back,"May 22, 1994",Spain,"1,85",left,"Jul 7, 2021",Deportivo Alavés B,"Jun 30, 2023",400k,NK Istra 1961
33,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Luka Bradaric,Centre-Back,"Sep 8, 2003",Croatia,,,"Jul 8, 2022",HNK Hajduk Split U19,"Jun 30, 2025",150k,NK Istra 1961
20,https://img.a.transfermarkt.technology/portrait/medium/619353-1644699702.jpeg?lm=1,Iurie Iovu,Centre-Back,"Jul 6, 2002","Moldova, Romania","1,96",right,"Jan 31, 2023",Venezia FC,"Jun 30, 2025",50k,NK Istra 1961
14,https://img.a.transfermarkt.technology/portrait/medium/434558-1646599012.png?lm=1,Luka Marin,Left-Back,"Mar 16, 1998",Croatia,"1,86",left,"Jul 16, 2021",NK Osijek II,"Jun 30, 2023",300k,NK Istra 1961
32,https://img.a.transfermarkt.technology/portrait/medium/909610-1646599338.png?lm=1,Mihael Rovis,Left-Back,"Jan 18, 2002",Croatia,"1,80",left,"Jul 1, 2021",NK Istra 1961 U19,"Jun 30, 2025",250k,NK Istra 1961
97,https://img.a.transfermarkt.technology/portrait/medium/318829-1598823282.jpg?lm=1,Advan Kadusic,Right-Back,"Oct 14, 1997",Bosnia-Herzegovina,"1,78",right,"Jul 25, 2022",Without Club,"Jun 30, 2025",700k,NK Istra 1961
2,https://img.a.transfermarkt.technology/portrait/medium/510256-1646598784.png?lm=1,Luka Hujber,Right-Back,"Jun 16, 1999",Croatia,"1,71",right,"Sep 4, 2020",NK Lokomotiva Zagreb,"Jun 30, 2024",500k,NK Istra 1961
16,https://img.a.transfermarkt.technology/portrait/medium/461657-1641717271.png?lm=1,Oleksandr Petrusenko,Defensive Midfield,"Mar 26, 1998",Ukraine,"1,81",right,"Aug 9, 2022",Budapest Honvéd FC,"Jun 30, 2025",500k,NK Istra 1961
6,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Tomislav Duvnjak,Defensive Midfield,"Feb 5, 2003",Croatia,,,"Jul 5, 2022",GNK Dinamo Zagreb II,"Jun 30, 2025",350k,NK Istra 1961
4,https://img.a.transfermarkt.technology/portrait/medium/123638-1646598792.png?lm=1,Frano Mlinar,Defensive Midfield,"Mar 30, 1992",Croatia,"1,82",right,"Jul 1, 2021",Slaven Belupo Koprivnica,"Jun 30, 2024",250k,NK Istra 1961
7,https://img.a.transfermarkt.technology/portrait/medium/46021-1646598822.png?lm=1,Slavko Blagojevic,Defensive Midfield,"Mar 21, 1987",Croatia,"1,79",both,"Jan 24, 2020",RFS,"Jun 30, 2024",50k,NK Istra 1961
35,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Antonio Mauric,Defensive Midfield,"Nov 4, 2003",Croatia,,,"Jul 1, 2022",NK Istra 1961 U19,"Jun 30, 2026",50k,NK Istra 1961
5,https://img.a.transfermarkt.technology/portrait/medium/829434-1646598800.png?lm=1,Facundo Cáseres,Central Midfield,"May 28, 2001",Argentina,"1,78",right,"Aug 21, 2021",CA Vélez Sarsfield II,"Jun 30, 2023",600k,NK Istra 1961
27,https://img.a.transfermarkt.technology/portrait/medium/615636-1646599032.png?lm=1,Abdallahi Mahmoud,Central Midfield,"May 4, 2000",Mauritania,"1,87",right,"Jan 19, 2023",Deportivo Alavés,"Jun 30, 2023",600k,NK Istra 1961
90,https://img.a.transfermarkt.technology/portrait/medium/625046-1669406300.png?lm=1,Unai Naveira,Central Midfield,"Apr 30, 2001",Spain,"1,83",right,"Jan 31, 2023",Bilbao Athletic,"Jun 30, 2023",50k,NK Istra 1961
10,https://img.a.transfermarkt.technology/portrait/medium/360516-1661845924.jpg?lm=1,Reda Boultam,Attacking Midfield,"Mar 3, 1998","Netherlands, Morocco","1,87",both,"Aug 31, 2022",US Salernitana 1919,"Jun 30, 2023",500k,NK Istra 1961
9,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Matej Vuk,Left Winger,"Jun 10, 2000",Croatia,"1,83",right,"Jan 18, 2023",HNK Rijeka,"Jun 30, 2025",200k,NK Istra 1961
22,https://img.a.transfermarkt.technology/portrait/medium/460889-1613670526.png?lm=1,Lovre Knezevic,Left Winger,"Jul 22, 1998",Croatia,"1,86",left,"Jul 11, 2022",Etar Veliko Tarnovo,"Jun 30, 2023",150k,NK Istra 1961
17,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Kristijan Kopljar,Left Winger,"Jul 7, 2001",Croatia,,,"Jul 6, 2022",NK Vrapce,"Jun 30, 2023",50k,NK Istra 1961
34,https://img.a.transfermarkt.technology/portrait/medium/665275-1646599347.png?lm=1,Mateo Lisica,Right Winger,"Jul 9, 2003",Croatia,"1,78",right,"Apr 24, 2020",NK Istra 1961 U17,"Jun 30, 2026",500k,NK Istra 1961
15,https://img.a.transfermarkt.technology/portrait/medium/618070-1647204369.jpg?lm=1,Darwin Matheus,Right Winger,"Apr 9, 2001",Venezuela,"1,70",left,"Jan 20, 2023",Atlanta United 2,"Jun 30, 2025",200k,NK Istra 1961
11,https://img.a.transfermarkt.technology/portrait/medium/854382-1684471973.jpg?lm=1,Monsef Bakrar,Centre-Forward,"Jan 13, 2001",Algeria,,,"Jul 26, 2022",ES Sétif,"Jun 30, 2025",400k,NK Istra 1961
18,https://img.a.transfermarkt.technology/portrait/medium/186473-1661619209.png?lm=1,Zoran Josipovic,Centre-Forward,"Aug 25, 1995",Switzerland,"1,91",left,"Jan 19, 2023",Dinamo Minsk,"Jun 30, 2025",300k,NK Istra 1961
50,https://img.a.transfermarkt.technology/portrait/medium/131303-1600971363.jpg?lm=1,Ante Erceg,Centre-Forward,"Dec 12, 1989",Croatia,"1,80",right,"Aug 4, 2022",Debreceni VSC,"Jun 30, 2023",250k,NK Istra 1961
95,https://img.a.transfermarkt.technology/portrait/medium/314616-1615921337.jpg?lm=1,Lovre Rogic,Goalkeeper,"Aug 27, 1995",Croatia,"1,90",right,"Jul 24, 2018",NK Primorac Biograd,"Jun 30, 2023",350k,HNK Sibenik
1,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Antonio Djakovic,Goalkeeper,"Jun 12, 2001",Croatia,"1,90",,-,,"Jun 15, 2024",200k,HNK Sibenik
-,https://img.a.transfermarkt.technology/portrait/medium/346524-1615747709.png?lm=1,Luka Simunovic,Centre-Back,"May 24, 1997",Croatia,"1,85",right,"Mar 8, 2022",Shakhter Soligorsk,"Jun 30, 2024",600k,HNK Sibenik
4,https://img.a.transfermarkt.technology/portrait/medium/651388-1641716601.png?lm=1,Mislav Matic,Centre-Back,"Jan 6, 2000",Croatia,"1,95",right,"Jul 22, 2022",FK Minaj,"Jun 30, 2024",400k,HNK Sibenik
5,https://img.a.transfermarkt.technology/portrait/medium/223973-1669145965.png?lm=1,Stefan Peric,Centre-Back,"Feb 13, 1997",Austria,"1,87",right,"Jul 1, 2021",Wolfsberger AC,"Jun 15, 2025",400k,HNK Sibenik
33,https://img.a.transfermarkt.technology/portrait/medium/655338-1660578447.png?lm=1,Nikola Djoric,Centre-Back,"Mar 3, 2000",Serbia,"1,92",right,"Jan 23, 2023",SK Austria Klagenfurt,"Jun 30, 2023",250k,HNK Sibenik
2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Juan Camilo Mesa,Centre-Back,"Feb 23, 1998",Colombia,"1,84",right,"Jul 14, 2022",CD América de Cali,"Jun 15, 2023",200k,HNK Sibenik
25,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Doni Grdic,Centre-Back,"Jan 22, 2002","Australia, Croatia","1,90",,"Jul 1, 2020",NK BSK Bijelo Brdo,"Jun 15, 2024",150k,HNK Sibenik
17,https://img.a.transfermarkt.technology/portrait/medium/572817-1677685298.jpg?lm=1,David Mina,Left-Back,"Apr 12, 1999",Colombia,"1,77",left,"Jan 28, 2021",Club Boca Juniors de Cali,"Jun 30, 2025",500k,HNK Sibenik
3,https://img.a.transfermarkt.technology/portrait/medium/101042-1444919716.jpg?lm=1,Josip Kvesic,Left-Back,"Sep 21, 1990","Bosnia-Herzegovina, Croatia","1,79",left,"Aug 18, 2020",NK Siroki Brijeg,"Jun 30, 2023",100k,HNK Sibenik
77,https://img.a.transfermarkt.technology/portrait/medium/193998-1601583616.jpg?lm=1,Dario Canadjija,Defensive Midfield,"Apr 17, 1994",Croatia,"1,76",right,"Jan 27, 2023",Aalesunds FK,"Jun 15, 2023",400k,HNK Sibenik
21,https://img.a.transfermarkt.technology/portrait/medium/445096-1588755972.jpg?lm=1,Iker Pozo,Defensive Midfield,"Aug 6, 2000",Spain,"1,76",,"Feb 7, 2023",Manchester City U21,"Jun 30, 2023",300k,HNK Sibenik
44,https://img.a.transfermarkt.technology/portrait/medium/357791-1580459104.jpg?lm=1,Marko Djira,Defensive Midfield,"May 5, 1999",Croatia,"1,71",left,"Feb 2, 2023",GNK Dinamo Zagreb,"Jun 15, 2023",300k,HNK Sibenik
6,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Marko Soldo,Defensive Midfield,"Nov 22, 2003","Croatia, Bosnia-Herzegovina",,right,"Jan 18, 2023",GNK Dinamo Zagreb,"Jun 30, 2023",250k,HNK Sibenik
23,https://img.a.transfermarkt.technology/portrait/medium/49001-1662877810.jpg?lm=1,Ivan Krolo,Defensive Midfield,"Jan 23, 2003",Croatia,"1,89",,"Jan 18, 2023",HNK Hajduk Split,"May 31, 2023",150k,HNK Sibenik
8,https://img.a.transfermarkt.technology/portrait/medium/526565-1631128111.jpg?lm=1,Dino Skorup,Central Midfield,"Oct 4, 1999",Croatia,"1,87",left,"Jul 12, 2022",HNK Hajduk Split,"Jun 30, 2025",100k,HNK Sibenik
37,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Haruki Arai,Left Midfield,"Apr 12, 1998",Japan,"1,68",right,"Jul 8, 2022",Tiamo Hirakata,"Jun 30, 2023",350k,HNK Sibenik
30,https://img.a.transfermarkt.technology/portrait/medium/38920-1611948321.jpg?lm=1,Josip Knezevic,Attacking Midfield,"Oct 3, 1988",Croatia,"1,86",left,"Jan 18, 2023",Without Club,"Jun 30, 2023",500k,HNK Sibenik
10,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Ivica Vidovic,Attacking Midfield,"Feb 15, 2002",Croatia,,left,"Jul 1, 2022",GNK Dinamo Zagreb II,"Jun 30, 2027",300k,HNK Sibenik
24,https://img.a.transfermarkt.technology/portrait/medium/328119-1663607155.jpg?lm=1,Amer Hiros,Left Winger,"Jun 10, 1996",Bosnia-Herzegovina,"1,82",left,"Jan 25, 2023",NK Osijek,"Jun 30, 2023",500k,HNK Sibenik
11,https://img.a.transfermarkt.technology/portrait/medium/554565-1628963290.jpg?lm=1,Ivan Dolcek,Left Winger,"Apr 24, 2000",Croatia,"1,81",left,"Jul 11, 2022",HNK Hajduk Split,"Jun 30, 2023",300k,HNK Sibenik
34,https://img.a.transfermarkt.technology/portrait/medium/943464-1657118521.png?lm=1,Karlo Speljak,Left Winger,"Mar 14, 2003",Croatia,"1,76",right,"Jul 11, 2022",NK Lokomotiva Zagreb U19,"Jun 30, 2025",250k,HNK Sibenik
-,https://img.a.transfermarkt.technology/portrait/medium/246277-1447421674.jpg?lm=1,Burgui,Left Winger,"Oct 29, 1993",Spain,"1,86",right,"Feb 18, 2022",Without Club,"Jun 30, 2023",200k,HNK Sibenik
7,https://img.a.transfermarkt.technology/portrait/medium/425784-1626687512.jpg?lm=1,Leon Krekovic,Left Winger,"May 7, 2000",Croatia,"1,82",,"Jul 13, 2022",Beerschot V.A.,"Jun 30, 2025",150k,HNK Sibenik
88,https://img.a.transfermarkt.technology/portrait/medium/159839-1616165365.png?lm=1,Zoran Kvrzic,Right Winger,"Aug 7, 1988","Bosnia-Herzegovina, Croatia","1,80",right,"Feb 3, 2023",Slaven Belupo Koprivnica,"Jun 15, 2024",150k,HNK Sibenik
90,https://img.a.transfermarkt.technology/portrait/medium/46415-1616873828.jpg?lm=1,Duje Cop,Centre-Forward,"Feb 1, 1990",Croatia,"1,84",right,"Jul 8, 2022",GNK Dinamo Zagreb,"Jun 30, 2023",200k,HNK Sibenik
9,https://img.a.transfermarkt.technology/portrait/medium/67856-1569556789.png?lm=1,Dejan Radonjic,Centre-Forward,"Jul 23, 1990","Croatia, Germany","1,90",right,"Feb 2, 2023",Anorthosis Famagusta,"Jun 1, 2023",175k,HNK Sibenik
12,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Antun Markovic,Goalkeeper,"Jul 4, 1992",Croatia,"1,94",right,"Jul 13, 2021",Rot-Weiß Erfurt,"Jun 15, 2023",250k,Slaven Belupo Koprivnica
25,https://img.a.transfermarkt.technology/portrait/medium/424187-1645189825.jpg?lm=1,Ivan Susak,Goalkeeper,"Oct 6, 1997",Croatia,"2,03",right,"Jul 14, 2021",NK Maribor,"Jun 15, 2023",200k,Slaven Belupo Koprivnica
32,https://img.a.transfermarkt.technology/portrait/medium/76254-1553468107.jpg?lm=1,Ivan Covic,Goalkeeper,"Sep 17, 1990",Croatia,"1,95",right,"Aug 12, 2020",HNK Gorica,"Jun 15, 2023",50k,Slaven Belupo Koprivnica
29,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Giannis Christopoulos,Centre-Back,"Jun 22, 2000",Greece,"1,91",right,"Sep 1, 2022",Asteras Tripolis,"Jun 30, 2023",600k,Slaven Belupo Koprivnica
24,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Novak Tepsic,Centre-Back,"Mar 16, 2002",Croatia,"1,85",right,"Feb 9, 2022",NK Rudes,"Dec 31, 2025",350k,Slaven Belupo Koprivnica
22,https://img.a.transfermarkt.technology/portrait/medium/316936-1616227070.jpeg?lm=1,Vinko Soldo,Centre-Back,"Feb 15, 1998",Croatia,"1,82",left,"Jul 13, 2021",GNK Dinamo Zagreb,"Jun 15, 2023",300k,Slaven Belupo Koprivnica
55,https://img.a.transfermarkt.technology/portrait/medium/669166-1660548741.jpg?lm=1,Marco Boras,Centre-Back,"Sep 28, 2001","Croatia, Germany","1,99",right,"Aug 31, 2022",TSG 1899 Hoffenheim II,"Jun 15, 2025",150k,Slaven Belupo Koprivnica
6,https://img.a.transfermarkt.technology/portrait/medium/34577-1550670454.png?lm=1,Tomislav Bozic,Centre-Back,"Nov 1, 1987",Croatia,"1,86",right,"Jul 19, 2019",Miedz Legnica,"Jun 15, 2023",100k,Slaven Belupo Koprivnica
20,https://img.a.transfermarkt.technology/portrait/medium/502130-1509718666.jpg?lm=1,Filip Hlevnjak,Centre-Back,"Aug 5, 2000",Croatia,"1,86",right,"Jul 1, 2019",Slaven Belupo Koprivnica U19,"Jun 15, 2023",100k,Slaven Belupo Koprivnica
13,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Gabriel Eskinja,Centre-Back,"Aug 29, 2003",Austria,"1,91",right,"Jul 1, 2022",Slaven Belupo Koprivnica U19,"Dec 31, 2025",50k,Slaven Belupo Koprivnica
30,https://img.a.transfermarkt.technology/portrait/medium/562671-1600971308.jpg?lm=1,Talys,Left-Back,"Feb 10, 1999",Brazil,"1,81",left,"Jul 20, 2022",NK Osijek,"Jun 30, 2024",500k,Slaven Belupo Koprivnica
3,https://img.a.transfermarkt.technology/portrait/medium/356241-1431010122.jpg?lm=1,Marko Martinaga,Left-Back,"May 27, 1998",Croatia,"1,79",left,"Jul 8, 2022",Akademija Pandev,"Jun 15, 2024",250k,Slaven Belupo Koprivnica
33,https://img.a.transfermarkt.technology/portrait/medium/450290-1585117565.png?lm=1,Antonio Bosec,Right-Back,"Aug 28, 1997",Croatia,"1,78",right,"Jan 27, 2021",NK Inter Zapresic,"Jun 15, 2023",500k,Slaven Belupo Koprivnica
23,https://img.a.transfermarkt.technology/portrait/medium/245061-1584504242.png?lm=1,Benedik Mioc,Defensive Midfield,"Oct 6, 1994",Croatia,"1,73",right,"Sep 27, 2022",FC Saburtalo,"Jun 15, 2024",300k,Slaven Belupo Koprivnica
4,https://img.a.transfermarkt.technology/portrait/medium/206939-1585152010.png?lm=1,Mario Marina,Defensive Midfield,"Aug 3, 1989","Croatia, Bosnia-Herzegovina","1,84",right,"Jul 1, 2021",Sabah FK,"Jun 15, 2023",250k,Slaven Belupo Koprivnica
5,https://img.a.transfermarkt.technology/portrait/medium/656172-1662310109.jpg?lm=1,Jakov Basic,Defensive Midfield,"Nov 25, 1996",Croatia,"1,90",left,"Jul 1, 2022",NK Rudes,"May 31, 2024",200k,Slaven Belupo Koprivnica
17,https://img.a.transfermarkt.technology/portrait/medium/319126-1670960598.jpg?lm=1,Mateo Kocijan,Defensive Midfield,"Mar 27, 1995",Croatia,"1,88",right,"Jul 1, 2021",NK Tehnicar 1974 Cvetkovec,"Jun 15, 2024",200k,Slaven Belupo Koprivnica
21,https://img.a.transfermarkt.technology/portrait/medium/335062-1532678582.jpg?lm=1,Nikola Jambor,Defensive Midfield,"Sep 25, 1995",Croatia,"1,88",left,"Jul 29, 2022",Moreirense FC,"Jun 15, 2023",200k,Slaven Belupo Koprivnica
10,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Robert Mudrazija,Central Midfield,"May 5, 1997",Croatia,"1,77",right,"Sep 8, 2022",Without Club,"Jun 15, 2024",400k,Slaven Belupo Koprivnica
2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Nikola Turanjanin,Attacking Midfield,"Apr 12, 2001",Bosnia-Herzegovina,"1,87",right,"Jan 19, 2021",NK Dubrava Tim kabel,"Jun 15, 2023",250k,Slaven Belupo Koprivnica
19,https://img.a.transfermarkt.technology/portrait/medium/945671-1638644480.jpg?lm=1,Josip Mihalic,Attacking Midfield,"Apr 4, 2003",Croatia,"1,78",left,"Jul 1, 2022",GNK Dinamo Zagreb U19,"Jun 15, 2024",50k,Slaven Belupo Koprivnica
9,https://img.a.transfermarkt.technology/portrait/medium/458367-1668085924.jpg?lm=1,Arbër Hoxha,Left Winger,"Oct 6, 1998",Kosovo,"1,85",right,"Feb 9, 2022",NK Lokomotiva Zagreb,"Jun 15, 2026",800k,Slaven Belupo Koprivnica
7,https://img.a.transfermarkt.technology/portrait/medium/149228-1592155922.jpg?lm=1,Antonio Perosevic,Left Winger,"Mar 6, 1992",Croatia,"1,80",left,"Jan 20, 2023",Without Club,"Jun 15, 2023",200k,Slaven Belupo Koprivnica
11,https://img.a.transfermarkt.technology/portrait/medium/580635-1618727389.png?lm=1,Ante Crnac,Right Winger,"Dec 17, 2003",Croatia,"1,89",left,"Jan 24, 2022",GNK Dinamo Zagreb II,"Dec 31, 2025",750k,Slaven Belupo Koprivnica
45,https://img.a.transfermarkt.technology/portrait/medium/354711-1603579071.jpg?lm=1,Arb Manaj,Centre-Forward,"Jul 23, 1998","Kosovo, Albania","1,88",right,"Jul 29, 2022",Ankara Keciörengücü,"May 31, 2024",300k,Slaven Belupo Koprivnica
8,https://img.a.transfermarkt.technology/portrait/medium/318767-1506595803.jpg?lm=1,Marko Zuljevic,Centre-Forward,"Sep 16, 1997",Croatia,"1,79",right,"Jul 12, 2022",NK Marsonia 1909,"Jun 15, 2023",150k,Slaven Belupo Koprivnica
99,https://img.a.transfermarkt.technology/portrait/medium/47171-1460744972.jpg?lm=1,Ivan Krstanovic,Centre-Forward,"Jan 5, 1983","Bosnia-Herzegovina, Croatia","1,96",right,"Jan 25, 2019",NK Lokomotiva Zagreb,"Jun 15, 2023",50k,Slaven Belupo Koprivnica
